ID,Title,Author,Venue,SearchString,v1_decision,v1_reason,v2_decision,v2_reason
82,A Declarative Framework for Hand-Crafted Mutation Analysis and Management,"Keles, Alperen",,String A,EXCLUDE,"Excluded by IC4: the paper focuses on hand-crafted mutant representation and management tooling, not AI/ML/LLM-guided mutation testing.",,
83,AI-Powered Defect Prediction: From Code Smells to Failure Forecasting,"Rahman, Md Mostafizur; Gony, Md Najmul; SD, Maria Khatun Shuvra; Rahman, Md Mashfiquer; Hossain, Mohammad Shahadat",International Journal of Communication Networks and Information Security,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
84,SPELL: Synthesis of Programmatic Edits using LLMs,"Ramos, Daniel; Gamboa, Catarina; Lynce, Inês; Manquinho, Vasco; Martins, Ruben; Goues, Claire Le",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
85,Toward Automated Validation of Language Model Synthesized Test Cases using Semantic Entropy,"Taherkhani, Hamed; Shin, Jiho; Tahir, Muhammad Ammar; Misu, Md Rakib Hossain; Gattani, Vineet Sunil; Hemmati, Hadi",IEEE Transactions on Software Engineering,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
86,Benchmarking AI Models for Automated Code Generation and Testing Using HumanEval,"Manzoor, Maria; Rehman, Mujeeb Ur; Kazim, Muhammad; Deka, Lipika; Khattak, Aizaz Ahmad; Usmani, Irfan Ahmed",2026 Global Conference on Wireless and Optical Technologies (GCWOT),String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
87,An LLM-Powered API Testing Framework Based on Structural Similarity Analysis,"Sezgin, Anıl; Kocatekin, Tuğberk; Yağcıoğlu, Mert",2026 14th International Symposium on Digital Forensics and Security (ISDFS),String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
88,POSTCONDBENCH: Benchmarking Correctness and Completeness in Formal Postcondition Inference,"Zhang, Gehao; Zhai, Juan",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
89,TOGBench: A Developer-Written Multi-Variant Dataset and Benchmark Suite for Test Oracle Generation,"Tasnim, Tasfia; Dwyer, Matthew B.; Hossain, Soneya Binta",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
90,Exploring Code Analysis: Zero-Shot Insights on Syntax and Semantics with LLMs,"Ma, Wei; Lin, Zhihao; Liu, Shangqing; Hu, Qiang; Liu, Ye; Wang, Wenhan; Zhang, Cen; Nie, Liming; Li, Li; Liu, Yang; Jiang, Lingxiao",ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
91,"<span style=""font-variant:small-caps;"">CITYWALK</span> : Enhancing LLM-Based C++ Unit Test Generation via Project-Dependency Awareness and Language-Specific Knowledge","Zhang, Yuwei; Lu, Qingyuan; Liu, Kai; Dou, Wensheng; Zhu, Jiaxin; Qian, Li; Zhang, Chunxi; Lin, Zheng; Wei, Jun",ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
92,A Survey of Code Review Benchmarks and Evaluation Practices in Pre-LLM and LLM Era,"Khan, Taufiqul Islam; Wang, Shaowei; Zhang, Haoxiang; Chen, Tse-Hsun",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
93,"Conformance, Cost, and Replication in Constrained LLM Coding Agents","Rocchi, Alessio",Available at SSRN 6751519,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
94,SpecSyn: LLM-based Synthesis and Refinement of Formal Specifications for Real-world Program Verification,"Ma, Lezhi; Liu, Shangqing; Li, Yi; Wu, Qiong; Wang, Han; Bu, Lei",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
95,Synthesizing File-Level Data for Unit Test Generation with Chain-of-Thoughts via Self-Debugging,"Hua, Ziyue; Chen, Tianyu; Gong, Yeyun; Lu, Shuai; Cheng, Peng; Zhu, Qinglin; He, Yibo; Fu, Yingjie; Jiao, Wenpin; Yang, Wei; Xie, Tao",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
96,VeriAct: Beyond Verifiability -- Agentic Synthesis of Correct and Complete Formal Specifications,"Misu, Md Rakib Hossain; Ma, Iris; Lopes, Cristina V.",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
97,FlyCatcher: Neural Inference of Runtime Checkers from Tests,"Souza, Beatriz; Lou, Chang; Nath, Suman; Pradel, Michael",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
98,"Edit, But Verify: An Empirical Audit of Instructed Code-Editing Benchmarks","Ebrahimi, Amir M.; Rajbahadur, Gopi Krishnan",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
99,Delta Debugging for LLM-integrated Systems,"Zhu, Hao-Nan; Mansur, Muhammad Numair; Schäf, Martin; Chen, Zeya; Lepoint, Tancrède; Visser, Willem",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
100,"LLM-Based Unit Test Cases Generation for React, Vue, and Angular Components","Wimalagunasekara, Geenoth; Vasanthapriyan, Shanmuganathan",2026 6th International Conference on Advanced Research in Computing (ICARC),String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
101,Beyond Superficial Tests: Adversarial Refinement for Reliable Property-Based Testing,"Li, Xiao; Liu, Runlin; Zhang, Zhe; Gao, Xiang; Sun, Hailong",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
102,"SecureRAG-RTL: A Retrieval-Augmented, Multi-Agent, Zero-Shot LLM-Driven Framework for Hardware Vulnerability Detection","Hasan, Touseef; Airehenbuwa, Blessing; Pundir, Nitin; Sarkar, Souvika; Guin, Ujjwal",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
103,LLM-Based Exploratory Testing Charter Generation: A Framework and Empirical Evaluation,"Surti, Arbaz",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
104,LLM-based Generation of Semantically Diverse and Realistic Domain Model Instances,"Coman, Andrei; Burgueño, Lola; Bork, Dominik; Wimmer, Manuel",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
105,Just-in-Time Catching Test Generation at Meta,"Becker, Matthew; Chen, Yifei; Cochran, Nicholas; Ghasemi, Pouyan; Gulati, Abhishek; Harman, Mark; Haluza, Zachary; Honarkhah, Mehrdad; Robert, Herve; Liu, Jiacheng; Liu, Weini; Thummala, Sreeja; Yang, Xiaoning; Xin, Rui; Zeng, Sophie",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
106,The new compiler stack: a survey on the synergy of LLMs and compilers,"Zhang, Shuoming; Zhao, Jiacheng; Yu, Qiuchu; Xia, Chunwei; Wang, Zheng; Feng, Xiaobing; Cui, Huimin",CCF Transactions on High Performance Computing,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
107,Test flimsiness: Characterizing flakiness induced by mutation to the code under test,"Parry, Owain; Kapfhammer, Gregory M.; Hilton, Michael; McMinn, Phil",Proceedings of,String A,EXCLUDE,EC4: Not sufficiently related to mutation testing and AI-guided mutant selection based on title.,,
108,Fixturize: Bridging the Fixture Gap in Test Generation,"Wang, Chengyi; Xue, Pengyu; Yang, Zhen; Luo, Xiapu; Zhang, Yuxuan; Lyu, Xiran; Pei, Yifei; Jia, Zonghan; Sun, Yichen; Wu, Linhao; Zheng, Kunwu",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
109,Containment Verification: AI Safety Guarantees Independent of Alignment,"Moon, Royce; Varshney, Lav R.",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
110,SMATA: A Structured Mobile Application Testing Architecture Adapting Hardware Verification Principles for Mobile Testing Standardization,"Elsayed, Saher",IEEE Access,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
111,MR-Coupler: Automated Metamorphic Test Generation via Functional Coupling Analysis,"Xu, Congying; Zhu, Hengcheng; Chen, Songqiang; Wu, Jiarong; Terragni, Valerio; Cheung, Shing-Chi",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
112,LLM-Assisted Input-Requirement-Aware Differential Testing of Array Programming Frameworks,"ZHOU, ZHICHAO; HE, JINGZHU",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
113,SWE-ABS: Adversarial Benchmark Strengthening Exposes Inflated Success Rates on Test-based Benchmark,"Yu, Boxi; Cao, Yang; Zhang, Yuzhong; Lin, Liting; Xu, Junjielong; Zhong, Zhiqing; Xu, Qinghua; Wang, Guancheng; Cao, Jialun; Cheung, Shing-Chi; He, Pinjia; Briand, Lionel",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
114,Foundation Models as Oracles for Refactoring Correctness Detection,"Gheyi, Rohit; Melo, Rian; Oliveira, Jonhnanthan; Ribeiro, Marcio; Fonseca, Baldoino",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
115,Automated Unit Test Generation via Chain-of-Thought Prompt and Reinforcement Learning from Coverage Feedback,"Zhang, Junwei; Hu, Xing; Xia, Xin; Cheung, Shing-Chi; Li, Shanping",ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
116,Survey on Learning-based Dynamic Fault Localization: From Traditional Machine Learning to Large Language Models,"Liu, Chunyan; Lei, Yan; Xie, Huan; Wang, Jinping; Yu, Yue; Lo, David",ACM Computing Surveys,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
117,AI-Driven Methods for RTL Debugging: Localization and Auto-Corrections of RTL Bugs “Towards Smart Debugging”,"Mohammed, Khaled",The Art of RTL Debugging,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
118,Artisan: Agentic Artifact Evaluation,"Baek, Doehyun; Pradel, Michael",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
119,Iter-T: ITERative Test suite generation for automated program repair,"Godio, Ariel; Brida, Simón Gutiérrez; Regis, Germán; Bagheri, Hamid; Nguyen, ThanhVu; Aguirre, Nazareno; Frias, Marcelo F.",IEEE Transactions on Software Engineering,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
120,TestDecision: Sequential Test Suite Generation via Greedy Optimization and Reinforcement Learning,"Wang, Guoqing; Yang, Chengran; Zhou, Xiaoxuan; Sun, Zeyu; Wang, Bo; Lo, David; Hao, Dan",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
121,Test automation with Selenium: A survey,"García Gutiérrez, Boni; Ricca, Filippo; Leotta, Maurizio; Muñoz Organero, Mario",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
122,Automated Inline-Test Generation without Relying on Method-Level Unit Tests,"Jiang, Pengyue; Liu, Yu; Guo, Anna; Gligoric, Milos; Legunsen, Owolabi",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
123,A survey on test case generation based on prompt engineering and large language models,"Cui, Hanjing; Zhao, Man; Li, Dongcheng",International Conference on AI-Generated Content (AIGC 2025),String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
124,Real-World Fault Detection for C-Extended Python Projects with Automated Unit Test Generation,"Berg, Lucas; Krodinger, Lukas; Lukasczyk, Stephan; Panichella, Annibale; Fraser, Gordon; Vanhoof, Wim; Devroey, Xavier",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
125,Can Adjusting Hyperparameters Lead to Green Deep Learning: An Empirical Study on Correlations between Hyperparameters and Energy Consumption of Deep Learning Models,"Wang, Taoran; Li, Yanhui; Ma, Mingliang; Chen, Lin; Zhou, Yuming",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
126,From Laboratory to Real-World Applications: Benchmarking Agentic Code Reasoning at the Repository Level,"Li, Jia; Su, Yuxin; Lyu, Michael R.",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
127,Fuzzing REST APIs in Industry: Necessary Features and Open Problems,"Arcuri, Andrea; Poth, Alexander; Rrjolli, Olsi; Garrett, Philip; Galeotti, Juan P.",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
128,Performance of test cases for machine learning classifier: coverage perspective,"Ashraf, Sadia; Imtiaz, Salma; Khan, Asmat Ullah; Kulhanek, Rastislav",Journal of Intelligent Systems,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
129,Fault Localization from the Semantic Code Search Perspective,"Qin, Yihao; Wang, Shangwen; Lei, Yan; Zhang, Zhuo; Lin, Bo; Peng, Xin; Ma, Jun; Chen, Liqian; Mao, Xiaoguang",ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
130,Challenges of deploying code embeddings: an industrial case study on method name generation,"Fein, Benedikt; Jungwirth, Maximilian; Fraser, Gordon; Kandlinger, Florian",Automated Software Engineering,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
131,ExVerus: Verus Proof Repair via Counterexample Reasoning,"Yang, Jun; Sun, Yuechun; Wu, Yi; Caridad, Rodrigo; Yuan, Yongwei; Yao, Jianan; Lu, Shan; Pei, Kexin",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
132,METHOD FOR AUTOMATIC TEST SUITE REDUCTION WITHOUT LOSS OF DETECTED DEFECTS,"Komleva, O. O.",ВЧЕНІ ЗАПИСКИ,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
133,WebMAC: A Multi-Agent Collaborative Framework for Scenario Testing of Web Systems,"Wan, Zhenyu; Chen, Gong; Huang, Qing; Xie, Xiaoyuan",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
134,VeriContest: A Competitive-Programming Benchmark for Verifiable Code Generation,"Xie, Zichen; Pawagi, Mrigank; Liu, Yuxin; Rai, Aaditi; Shao, Lize; Berberian, John; Che, Sicong; Wang, Wenxi",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
135,NOETHER: A Constructive Framework for Metamorphic Pattern Discovery from Operator Algebras,"Li, Meng; Yang, Xiaohua; Liu, Jie; Yan, Shiyu",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
136,"AI-Powered Vulnerability Detection and Patch Management in Cybersecurity: A Systematic Review of Techniques, Challenges, and Emerging Trends","Malkawi, Malek; Alhajj, Reda",Machine Learning and Knowledge Extraction,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
137,Comparative Evaluation of End-to-End Automated Testing Tools for Web Applications: Cypress vs. Playwright,"Amarif, Mabroukah; Imhmed, Hisham; Awidat, Fatma; Ahwidy, Mansour; Ahmed, Khamiss",2026 IEEE 5th International Maghreb Meeting of the Conference on Sciences and Techniques of Automatic Control and Computer Engineering (MI-STA),String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
138,Debugging Performance Issues in WebAssembly Runtimes via Mutation-based Inference,"Zeng, Ruiying; Jiang, Shuyao; Zhao, Wenxuan; Zhou, Yangfan",,String A,EXCLUDE,EC4: Not sufficiently related to mutation testing and AI-guided mutant selection based on title.,,
139,Mechanistic Interpretability and Automated Formal Verificationfor Robustness in Multimodal LLMs. for Robustness in Multimodal LLMs.,"Ranade, Kaushik Tushar",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
140,REVIEW OF TOOLS AND TECHNIQUES SHNYAR ABDULSALAM^1,"SHAMSALDIN, AHMED S.; RASHID, TARIK A.",The Societal Benefits of AI Interventions and Intelligent Technology,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
141,Narrowing the Complexity Gap in the Evaluation of Large Language Models,"Chen, Yang; Liu, Shuyang; Jabbarvand, Reyhaneh",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
142,Enhancing Test-Driven Development with Semi-Automated Test Case Generation Using Input Space Partitioning,"Yeganeh, Mohsen Shojaei; Mirian-Hosseinabadi, Seyed-Hassan",2026 12th International Conference on Web Research (ICWR),String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
143,"Talk is Cheap, Logic is Hard: Benchmarking LLMs on Post-Condition Formalization","Prasetya, I. S. W. B.; Kifetew, Fitsum; Prandi, Davide",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
144,TypeNFuzz: Dynamic Type-aware Object Dependence Graph-Guided Fuzzing for JavaScript Library Bug Discovery,"Zeng, Yishun; Wu, Yue; Zhang, Chao",ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
145,SWE Atlas: Benchmarking Coding Agents Beyond Issue Resolution,"Raghavendra, Mohit; Dan, Soham; Calvo, Miguel Romero; He, Yannis Yiming; Mols, Johannes Baptist; Anand, Gautam; McCollum, Cole; Arakelyan, Edgar; Bharadwaj, Vijay; Park, Andrew; Da, Jeff; Rezaei, MohammadHossein; Liu, Bing; Kenstler, Brad; He, Yunzhong",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
146,Advancing Language Models for Code-related Tasks,"Tian, Zhao",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
147,When Help Hurts: Verification Load and Fatigue with AI Coding Assistants,"Fan, Guangrui; Liu, Dandan; Pan, Lihu; Zhang, Rui",Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
148,CurricuForge: A Unified Framework for Progressive Code Generation Through Curriculum-Guided Multi-Agent Collaboration With Symbolic Verification,"Wang, Zhuojin",IEEE Access,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
149,Boosting Metamorphic Testing: A General Metamorphic Specification Language and A Supporting System,"Sun, Chang-ai; Wu, Siyi; Zhang, XiaoYi; Poon, Pak-Lok",ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
150,The Role of Algorithms in Advancing Software Engineering: A Comprehensive Study,"Wariyal, Suresh Chandra; Pandey, Nitin; Negi, Deepak; Khare, Ashish B.",DMPedia Lecture Notes in Multidisciplinary Research,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
151,A Roadmap for Modern Code Review: Challenges and Opportunities,"Yang, Zezhou; Gao, Cuiyun; Guo, Zhaoqiang; Li, Zhenhao; Liu, Kui; Xia, Xin; Zhou, Yuming",ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
152,FROM BENCHMARK SCORES TO DEPLOYMENT READINESS: A JOURNAL-SCALE EVALUATION FRAMEWORK FOR AUTONOMOUS SOFTWARE DEVELOPMENT AGENTS,"Samal, Partha Sarathi; Palus, Suresh Kumar; Padmam, Sai Kiran",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
153,ZeroCoder: Can LLMs Improve Code Generation Without Ground-Truth Supervision?,"Fan, Lishui; Chen, Mouxiang; Zhu, Tingwei; Liu, Kui; Xia, Xin; Li, Shanping; Liu, Zhongxin",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
154,An empirical analysis of vulnerability detection tools for solidity smart contracts,"Salzano, Francesco; Antenucci, Cosmo Kevin; Scalabrino, Simone; Rosa, Giovanni; Oliveto, Rocco; Pareschi, Remo",Empirical Software Engineering,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
155,Software Vulnerability Detection Using a Lightweight Graph Neural Network,"Farmer, Miles; Ufuktepe, Ekincan; Watson, Anne; Carvalho, Hialo Muniz; Okun, Vadim; Maasaoui, Zineb; Palaniappan, Kannappan",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
156,CCIHunter: Enhancing Smart Contract Code–Comment Inconsistencies Detection via Two-Stage Pre-Training,"Li, Ziwei; Wu, Jiajing; Wu, Zhiying; Tan, Dongcheng; Zou, Weipeng; Jiang, Zigui; Zhen, Yi; Zhang, Zheng; Zheng, Zibin",ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
157,Assessing Task-based Chatbots: Snapshot and Curated Datasets for Dialogflow,"Masserini, Elena; Clerissi, Diego; Micucci, Daniela; Mariani, Leonardo",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
158,When Specifications Meet Reality: Uncovering API Inconsistencies in Ethereum Infrastructure,"Ma, Jie; He, Ningyu; Xi, Jinwen; Xing, Mingzhe; Liu, Liangxin; Luo, Jiushenzi; Fu, Xiaopeng; Wu, Chiachih; Wang, Haoyu; Gao, Ying; Yue, Yinliang",Proceedings of the ACM on Programming Languages,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
159,Eywa: Automating {Model-Based} Testing using {LLMs},"Mondal, Rajdeep; Singha, Rathin; Millstein, Todd; Varghese, George; Beckett, Ryan; Kakarla, Siva Kesava Reddy",23rd USENIX Symposium on Networked Systems Design and Implementation (NSDI 26),String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
160,A Machine Learning Approach to Enhanced Software Quality Through the Automated Creation of Unit Tests,"Nelson, Morgan S.",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
161,ICLScan: Detecting backdoors in black-box large language models via targeted in-context illumination,"Pang, Xiaoyi; Hao, Xuanyi; Guo, Song; Luo, Qi; Wang, Zhibo",Advances in Neural Information Processing Systems,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
162,Baseline Capture and Drift Index: A Framework for Validating AI-Assisted Changes in Existing Web Systems,"Muratovic, Ajdin; Tanovic, Anel",2026 25th International Symposium INFOTEH-JAHORINA (INFOTEH),String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
163,A Survey of Domain-specific Fine-tuned Large Language Models,"Sarzaeim, Paria; Azim, Akramul; Bauer, Gary; Makrehchi, Masoud",IEEE Access,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
164,"Adaptive and Explainable Test Case Prioritization in Continuous Integration: A Systematic Review of Reinforcement Learning, Learning-to-Rank, and Search-/Combinatorial-Based Methods","Kongarana, Srinivasa Rao; Rao, A. Ananda; Raju, P. Radhika",IEEE Access,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
165,Unleashing the Potential of Coverage Representation in Deep Learning-Based Fault Localization,"Wang, Jinping; Lei, Yan; Xie, Huan; Liu, Chunyan",IEEE Transactions on Software Engineering,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
